nohup: ignoring input
/opt/conda/envs/hncgat/lib/python3.9/site-packages/torch/torch_version.py:3: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import packaging  # type: ignore[attr-defined]
Namespace(gpu=0, n_epochs=1000, lr=0.005, lamb=1, hid_dim=64, dropout=0.5, temperature=0.1, edgetype='concat', use_weighted_loss=True, weight_attention=True, weight_temperature=0.8)
1-th random split with training ratio 0.900000
Epoch 220 | Loss 7.6297 | TrainAUC 0.9731 | testAUC_ROC 0.9435 |  testAUCpr 0.6830 
Epoch 230 | Loss 7.5206 | TrainAUC 0.9752 | testAUC_ROC 0.9473 |  testAUCpr 0.7049 
Epoch 240 | Loss 7.4738 | TrainAUC 0.9758 | testAUC_ROC 0.9446 |  testAUCpr 0.6900 
Epoch 250 | Loss 7.4660 | TrainAUC 0.9756 | testAUC_ROC 0.9434 |  testAUCpr 0.6928 
Epoch 260 | Loss 7.4048 | TrainAUC 0.9771 | testAUC_ROC 0.9506 |  testAUCpr 0.7246 
Epoch 270 | Loss 7.4053 | TrainAUC 0.9769 | testAUC_ROC 0.9487 |  testAUCpr 0.7130 
Epoch 280 | Loss 7.3879 | TrainAUC 0.9769 | testAUC_ROC 0.9488 |  testAUCpr 0.7280 
Epoch 290 | Loss 7.3217 | TrainAUC 0.9785 | testAUC_ROC 0.9541 |  testAUCpr 0.7469 
Epoch 300 | Loss 7.3278 | TrainAUC 0.9784 | testAUC_ROC 0.9535 |  testAUCpr 0.7479 
Epoch 300 - Average weights - PM:0.307, PP:0.182, PF:0.510
Epoch 310 | Loss 7.2851 | TrainAUC 0.9793 | testAUC_ROC 0.9520 |  testAUCpr 0.7399 
Epoch 320 | Loss 7.3045 | TrainAUC 0.9791 | testAUC_ROC 0.9544 |  testAUCpr 0.7471 
Epoch 330 | Loss 7.2205 | TrainAUC 0.9799 | testAUC_ROC 0.9555 |  testAUCpr 0.7522 
Epoch 340 | Loss 7.1676 | TrainAUC 0.9811 | testAUC_ROC 0.9569 |  testAUCpr 0.7652 
